rank,config_json,Image Recall@1,Image Recall@5,Image Recall@10,Image MRR
64,"{""bbox_weight"": 0.6, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.4, ""source_coefficient"": 0.01, ""weights"": [0.346572, 0.238582, 0.322453, 0.043833, 0.04856]}",0.44285714285714284,0.7571428571428571,0.8285714285714286,0.5711678004535148
65,"{""bbox_weight"": 0.2, ""semantic_mode"": ""robust_cosine"", ""siglip_weight"": 0.8, ""source_coefficient"": 0.0, ""weights"": [0.59991, 0.107043, 0.165467, 0.033225, 0.094356]}",0.45714285714285713,0.7571428571428571,0.8571428571428571,0.5709920634920636
66,"{""bbox_weight"": 0.6, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.4, ""source_coefficient"": 0.02, ""weights"": [0.157474, 0.412768, 0.303335, 0.07103, 0.055394]}",0.44285714285714284,0.7571428571428571,0.8142857142857143,0.5709863945578232
67,"{""bbox_weight"": 0.7, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.3, ""source_coefficient"": 0.0, ""weights"": [0.182689, 0.475855, 0.175228, 0.063474, 0.102754]}",0.44285714285714284,0.7571428571428571,0.8142857142857143,0.5709523809523809
68,"{""bbox_weight"": 0.9, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.1, ""source_coefficient"": 0.02, ""weights"": [0.346572, 0.238582, 0.322453, 0.043833, 0.04856]}",0.44285714285714284,0.7571428571428571,0.8,0.570873015873016
69,"{""bbox_weight"": 0.6, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.4, ""source_coefficient"": 0.0, ""weights"": [0.299709, 0.303656, 0.304335, 0.071107, 0.021193]}",0.44285714285714284,0.7571428571428571,0.8142857142857143,0.5707709750566894
70,"{""bbox_weight"": 0.4, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.6, ""source_coefficient"": 0.01, ""weights"": [0.530855, 0.153755, 0.175801, 0.049794, 0.089795]}",0.45714285714285713,0.7428571428571429,0.8142857142857143,0.5705328798185941
71,"{""bbox_weight"": 0.4, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.6, ""source_coefficient"": 0.0, ""weights"": [0.157474, 0.412768, 0.303335, 0.07103, 0.055394]}",0.42857142857142855,0.7714285714285715,0.8142857142857143,0.5704761904761906
72,"{""bbox_weight"": 0.7, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.3, ""source_coefficient"": 0.0, ""weights"": [0.346572, 0.238582, 0.322453, 0.043833, 0.04856]}",0.44285714285714284,0.7571428571428571,0.8285714285714286,0.570453514739229
73,"{""bbox_weight"": 0.7, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.3, ""source_coefficient"": 0.01, ""weights"": [0.346572, 0.238582, 0.322453, 0.043833, 0.04856]}",0.44285714285714284,0.7571428571428571,0.8285714285714286,0.570453514739229
